confusion,actual_class,predicted_class,confidence,image_path
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.463111,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (101).jpg
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.495072,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (1029).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.483716,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (1086).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.491929,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (113).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.386678,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (17).jpg
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.771265,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (203).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.518538,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (253).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.832918,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (314).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.698765,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (403).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.885443,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (414).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.632359,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (541).jpg
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.541381,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (606).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.386707,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (666).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.663635,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (694).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.822818,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (752).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.739461,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (807).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.542048,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (855).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.551447,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (864).JPG
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.453889,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (95).jpg
Blight_to_Gray_Leaf_Spot,Blight,Gray_Leaf_Spot,0.775111,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Blight\Corn_Blight (980).JPG
Gray_Leaf_Spot_to_Blight,Gray_Leaf_Spot,Blight,0.653764,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Gray_Leaf_Spot\Corn_Gray_Spot (143).JPG
Gray_Leaf_Spot_to_Blight,Gray_Leaf_Spot,Blight,0.599107,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Gray_Leaf_Spot\Corn_Gray_Spot (184).JPG
Gray_Leaf_Spot_to_Blight,Gray_Leaf_Spot,Blight,0.613733,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\validation\Gray_Leaf_Spot\Corn_Gray_Spot (33).jpg
