actual_class,predicted_class,confidence,image_path,analysis_group,visual_review,boundary_case,label_review_needed,severity,image_quality,lesion_shape,lesion_distribution,lesion_boundary_visibility,background_difficulty,notes,review_priority,review_instructions
Blight,Gray_Leaf_Spot,0.696213,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (149).JPG,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
Blight,Gray_Leaf_Spot,0.686721,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (75).jpg,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
Gray_Leaf_Spot,Blight,0.662111,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (40).jpg,Gray_to_Blight_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
Blight,Gray_Leaf_Spot,0.639924,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (1144).jpg,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
Blight,Gray_Leaf_Spot,0.636688,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (655).jpg,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
Gray_Leaf_Spot,Blight,0.606405,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (3).jpg,Gray_to_Blight_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
Blight,Gray_Leaf_Spot,0.605201,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (692).JPG,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
Blight,Gray_Leaf_Spot,0.565024,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (488).JPG,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
Blight,Gray_Leaf_Spot,0.548123,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (99).jpg,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
Gray_Leaf_Spot,Blight,0.540537,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (17).jpg,Gray_to_Blight_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
Gray_Leaf_Spot,Blight,0.535297,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (311).jpg,Gray_to_Blight_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
Blight,Gray_Leaf_Spot,0.52458,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (15).jpg,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
Blight,Gray_Leaf_Spot,0.474308,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (277).JPG,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
Blight,Gray_Leaf_Spot,0.400403,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (1135).jpg,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes."
