manual_review_id,actual_class,predicted_class,confidence,analysis_group,review_priority,image_path,visual_review,boundary_case,label_review_needed,severity,image_quality,lesion_shape,lesion_distribution,lesion_boundary_visibility,background_difficulty,notes
ERR_14,Blight,Gray_Leaf_Spot,0.696213,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (149).JPG,,,,,,,,,,
ERR_15,Blight,Gray_Leaf_Spot,0.686721,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (75).jpg,,,,,,,,,,
ERR_16,Gray_Leaf_Spot,Blight,0.662111,Gray_to_Blight_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (40).jpg,,,,,,,,,,
ERR_17,Blight,Gray_Leaf_Spot,0.639924,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (1144).jpg,,,,,,,,,,
ERR_18,Blight,Gray_Leaf_Spot,0.636688,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (655).jpg,,,,,,,,,,
ERR_19,Gray_Leaf_Spot,Blight,0.606405,Gray_to_Blight_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (3).jpg,,,,,,,,,,
ERR_20,Blight,Gray_Leaf_Spot,0.605201,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (692).JPG,,,,,,,,,,
ERR_21,Blight,Gray_Leaf_Spot,0.565024,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (488).JPG,,,,,,,,,,
ERR_22,Blight,Gray_Leaf_Spot,0.548123,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (99).jpg,,,,,,,,,,
ERR_23,Gray_Leaf_Spot,Blight,0.540537,Gray_to_Blight_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (17).jpg,,,,,,,,,,
ERR_24,Gray_Leaf_Spot,Blight,0.535297,Gray_to_Blight_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (311).jpg,,,,,,,,,,
ERR_25,Blight,Gray_Leaf_Spot,0.52458,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (15).jpg,,,,,,,,,,
ERR_26,Blight,Gray_Leaf_Spot,0.474308,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (277).JPG,,,,,,,,,,
ERR_27,Blight,Gray_Leaf_Spot,0.400403,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (1135).jpg,,,,,,,,,,
