manual_review_id,actual_class,predicted_class,confidence,analysis_group,review_priority,image_path,visual_review,boundary_case,label_review_needed,severity,image_quality,lesion_shape,lesion_distribution,lesion_boundary_visibility,background_difficulty,notes
ERR_01,Gray_Leaf_Spot,Blight,0.998709,Gray_to_Blight_Error,HIGH,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (415).JPG,,,,,,,,,,
ERR_02,Blight,Gray_Leaf_Spot,0.947819,Blight_to_Gray_Error,HIGH,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (468).JPG,,,,,,,,,,
ERR_03,Blight,Gray_Leaf_Spot,0.919303,Blight_to_Gray_Error,HIGH,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (925).JPG,,,,,,,,,,
ERR_04,Blight,Gray_Leaf_Spot,0.915191,Blight_to_Gray_Error,HIGH,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (361).JPG,,,,,,,,,,
ERR_05,Blight,Gray_Leaf_Spot,0.911973,Blight_to_Gray_Error,HIGH,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (974).JPG,,,,,,,,,,
ERR_06,Blight,Gray_Leaf_Spot,0.899456,Blight_to_Gray_Error,HIGH,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (117).JPG,,,,,,,,,,
ERR_07,Blight,Gray_Leaf_Spot,0.869633,Blight_to_Gray_Error,HIGH,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (273).JPG,,,,,,,,,,
ERR_08,Gray_Leaf_Spot,Blight,0.856524,Gray_to_Blight_Error,HIGH,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (29).jpg,,,,,,,,,,
ERR_09,Blight,Gray_Leaf_Spot,0.843755,Blight_to_Gray_Error,HIGH,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (638).jpg,,,,,,,,,,
ERR_10,Blight,Gray_Leaf_Spot,0.799073,Blight_to_Gray_Error,HIGH,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (847).JPG,,,,,,,,,,
ERR_11,Gray_Leaf_Spot,Blight,0.745943,Gray_to_Blight_Error,HIGH,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (127).JPG,,,,,,,,,,
ERR_12,Gray_Leaf_Spot,Blight,0.705525,Gray_to_Blight_Error,HIGH,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (48).jpg,,,,,,,,,,
ERR_13,Blight,Gray_Leaf_Spot,0.704854,Blight_to_Gray_Error,HIGH,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (983).jpg,,,,,,,,,,
ERR_14,Blight,Gray_Leaf_Spot,0.696213,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (149).JPG,,,,,,,,,,
ERR_15,Blight,Gray_Leaf_Spot,0.686721,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (75).jpg,,,,,,,,,,
ERR_16,Gray_Leaf_Spot,Blight,0.662111,Gray_to_Blight_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (40).jpg,,,,,,,,,,
ERR_17,Blight,Gray_Leaf_Spot,0.639924,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (1144).jpg,,,,,,,,,,
ERR_18,Blight,Gray_Leaf_Spot,0.636688,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (655).jpg,,,,,,,,,,
ERR_19,Gray_Leaf_Spot,Blight,0.606405,Gray_to_Blight_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (3).jpg,,,,,,,,,,
ERR_20,Blight,Gray_Leaf_Spot,0.605201,Blight_to_Gray_Error,MEDIUM,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (692).JPG,,,,,,,,,,
