actual_class,predicted_class,confidence,image_path,analysis_group,visual_review,boundary_case,label_review_needed,severity,image_quality,lesion_shape,lesion_distribution,lesion_boundary_visibility,background_difficulty,notes,review_priority,review_instructions,error_type
Gray_Leaf_Spot,Blight,0.998709,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (415).JPG,Gray_to_Blight_Error,,,,,,,,,,,HIGH,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Gray_to_Blight_Error
Blight,Gray_Leaf_Spot,0.947819,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (468).JPG,Blight_to_Gray_Error,,,,,,,,,,,HIGH,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Blight_to_Gray_Error
Blight,Gray_Leaf_Spot,0.919303,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (925).JPG,Blight_to_Gray_Error,,,,,,,,,,,HIGH,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Blight_to_Gray_Error
Blight,Gray_Leaf_Spot,0.915191,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (361).JPG,Blight_to_Gray_Error,,,,,,,,,,,HIGH,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Blight_to_Gray_Error
Blight,Gray_Leaf_Spot,0.911973,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (974).JPG,Blight_to_Gray_Error,,,,,,,,,,,HIGH,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Blight_to_Gray_Error
Blight,Gray_Leaf_Spot,0.899456,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (117).JPG,Blight_to_Gray_Error,,,,,,,,,,,HIGH,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Blight_to_Gray_Error
Blight,Gray_Leaf_Spot,0.869633,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (273).JPG,Blight_to_Gray_Error,,,,,,,,,,,HIGH,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Blight_to_Gray_Error
Gray_Leaf_Spot,Blight,0.856524,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (29).jpg,Gray_to_Blight_Error,,,,,,,,,,,HIGH,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Gray_to_Blight_Error
Blight,Gray_Leaf_Spot,0.843755,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (638).jpg,Blight_to_Gray_Error,,,,,,,,,,,HIGH,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Blight_to_Gray_Error
Blight,Gray_Leaf_Spot,0.799073,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (847).JPG,Blight_to_Gray_Error,,,,,,,,,,,HIGH,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Blight_to_Gray_Error
Gray_Leaf_Spot,Blight,0.745943,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (127).JPG,Gray_to_Blight_Error,,,,,,,,,,,HIGH,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Gray_to_Blight_Error
Gray_Leaf_Spot,Blight,0.705525,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (48).jpg,Gray_to_Blight_Error,,,,,,,,,,,HIGH,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Gray_to_Blight_Error
Blight,Gray_Leaf_Spot,0.704854,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (983).jpg,Blight_to_Gray_Error,,,,,,,,,,,HIGH,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Blight_to_Gray_Error
Blight,Gray_Leaf_Spot,0.696213,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (149).JPG,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Blight_to_Gray_Error
Blight,Gray_Leaf_Spot,0.686721,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (75).jpg,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Blight_to_Gray_Error
Gray_Leaf_Spot,Blight,0.662111,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (40).jpg,Gray_to_Blight_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Gray_to_Blight_Error
Blight,Gray_Leaf_Spot,0.639924,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (1144).jpg,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Blight_to_Gray_Error
Blight,Gray_Leaf_Spot,0.636688,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Blight\Corn_Blight (655).jpg,Blight_to_Gray_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Blight_to_Gray_Error
Gray_Leaf_Spot,Blight,0.606405,C:\Users\Administrator\Downloads\Plant Health Maize Project\corn_pathology_ai-main\dataset_split\test\Gray_Leaf_Spot\Corn_Gray_Spot (3).jpg,Gray_to_Blight_Error,,,,,,,,,,,MEDIUM,"Manually inspect image. Record whether it is a boundary case, severity, image quality, lesion shape, lesion distribution, lesion-boundary visibility, background difficulty, and notes.",Gray_to_Blight_Error
